model,harness,region,overall,cased,broadsheet,page,chrF,bowF1,gap,cost,cost_per_100,tok_out,n
lib-chunk,newspaper-ocr,PaddleX,0.9188931439059607,0.9046802811971988,0.9686854730012436,0.8856982578424386,0.9474040116066169,0.961446343959597,0.042553200053636386,0.0,0.0,,15
lib-paddlex-glm,newspaper-ocr,PaddleX,0.9188931439059607,0.9046802811971988,0.9686854730012436,0.8856982578424386,0.9474040116066169,0.961446343959597,0.042553200053636386,0.0,0.0,,15
paddlex-glm,newspaper-ocr,PaddleX,0.9188931439059607,0.9046802811971988,0.9686854730012436,0.8856982578424386,0.9474040116066169,0.961446343959597,0.042553200053636386,0.0,0.0,,15
res-glm-base,newspaper-ocr,PaddleX,0.9188931439059607,0.9046802811971988,0.9686854730012436,0.8856982578424386,0.9474040116066169,0.961446343959597,0.042553200053636386,0.0,0.0,,15
mistral-small-2603,newspaper-ocr,PaddleX,0.9168988943453938,0.8987158985787458,0.9705067472080315,0.8811603257703021,0.9436993864789475,0.9437502280882715,0.026851333742877626,0.1342699058249998,0.7066837148684201,118448,15
res-tess-resid,newspaper-ocr,PaddleX,0.9165866916794994,0.890015795874547,0.9581489361167167,0.8888785287213544,0.9493876911079127,0.9053005193693332,-0.011286172310166154,0.0,0.0,,15
glm-5.3-flash,newspaper-ocr,PaddleX,0.9163044749115766,0.9005222227227109,0.9709010944828368,0.8799067285307366,0.943169338482196,0.9395009182484492,0.02319644333687254,0.13179321049949996,0.6936484763131576,218219,15
lib-fallback,newspaper-ocr,PaddleX,0.91530995253742,0.9011415721965693,0.9686854730012436,0.8797262722282043,0.9466713887332379,0.9600474569665517,0.044737504429131714,0.0,0.0,,15
progmag-ppdoc-tesseract,progmag-ocr,PaddleX,0.9144821746011174,0.8902614456512153,0.9668954243309772,0.8795400081145442,0.9298325187269453,0.9018819598077894,-0.012600214793327957,0.0,0.0,,15
paddlex-glm-repair,newspaper-ocr,PaddleX,0.9133285659236506,0.8986089883608457,0.9619318654631541,0.8809263662306483,0.944890777094553,0.9586443080022662,0.04531574207861555,0.0,0.0,,15
qwen3.8-flash,newspaper-ocr,PaddleX,0.9069320244287793,0.8874278931673849,0.9653706136146152,0.8679729649715553,0.9309924047843834,0.9242960278536942,0.017364003424914953,0.15450548058,0.8131867398947368,215766,15
lib-repair,newspaper-ocr,PaddleX,0.9062886705099111,0.8924173977710577,0.9614938976527774,0.8694851857480004,0.939242487115805,0.9542654794087705,0.04797680889885936,0.0,0.0,,15
paddlex-tesseract,newspaper-ocr,PaddleX,0.8988848896873695,0.8739039537027898,0.9616320606139583,0.8570534424029769,0.9201622677813389,0.8908868608100703,-0.007998028877299168,0.0,0.0,,15
res-tess-base,newspaper-ocr,PaddleX,0.8988848896873695,0.8739039537027898,0.9616320606139583,0.8570534424029769,0.9201622677813389,0.8908868608100703,-0.007998028877299168,0.0,0.0,,15
claude-haiku-4.5,newspaper-ocr,PaddleX,0.8940882774338846,0.8737060682407937,0.9639034676387935,0.8475448172972786,0.9372143609370277,0.9174044032509056,0.023316125817020916,1.0644727500000026,5.602488157894751,134382,15
gemma-3-27b-it,newspaper-ocr,PaddleX,0.874691257447747,0.8522297560196987,0.9526738614223905,0.8227028547979847,0.916880619040567,0.9056011625089236,0.030909905061176635,0.06268860773999996,0.3299400407368419,124086,15
gemini-3.5-flash-lite,newspaper-ocr,none,0.8199553418640178,0.8026351668264051,0.8835844687786762,0.7775359239209121,0.8762337407665192,0.8674919251044583,0.04753658324044052,0.547720569,2.8827398368421053,217140,15
ll-asyolo-pvl,newspaper-ocr,AS-YOLO,0.8164633269178445,0.8012494055090488,0.8331868386546482,0.8053143190933088,0.9355682548680766,0.9371022271397392,0.12063890022189472,0.0,0.0,,15
ll-asyolo-glm,newspaper-ocr,AS-YOLO,0.802983024183176,0.7875958058150647,0.8248610521515428,0.7883976722042648,0.941574837447454,0.9423074632126464,0.13932443902947034,0.0,0.0,,15
tesseract,newspaper-ocr,none,0.6770463337375716,0.6615128072483427,0.6142353610839106,0.7189203155066788,0.8661634343070276,0.8437218812627203,0.16667554752514868,0.0,0.0,,15
tesseract-default,newspaper-ocr,AS-YOLO,0.6218416570875264,0.6040291040123279,0.6077540545381341,0.6312333921204545,0.6855854150708913,0.7103505618345243,0.08850890474699791,0.0,0.0,,15
ll-asyolo-tess,newspaper-ocr,AS-YOLO,0.6203146606794674,0.6015435053900376,0.6063755826086548,0.6296073793933427,0.6894356029429326,0.7059928617808476,0.08567820110138025,0.0,0.0,,15
news_combo_fast,newspaper-ocr,AS-YOLO,0.6171884642687374,0.6014957561019509,0.6030797099901546,0.6265943004544592,0.6694794500230381,0.7110610973048425,0.09387263303610505,0.0,0.0,,15
glm-ocr-mlx,newspaper-ocr,AS-YOLO,0.6067649551833904,0.596102060474454,0.573951499060326,0.6286405925987666,0.67138544740124,0.7497157741737925,0.14295081899040218,0.0,0.0,,15
gpt-5.6-luna,newspaper-ocr,none,0.5033816247782661,0.4898532320552923,0.3781052153746388,0.5868992310473511,0.690217409847228,0.7297195989988434,0.22633797422057733,0.0,0.0,133143,15
qwen3.8-flash,newspaper-ocr,none,0.3414523534238817,0.33201257588338917,0.18513126200165575,0.44566641437203214,0.3494601475273635,0.3624364437059821,0.02098409028210041,0.02788846038,0.14678137042105263,80352,15
lib-paddlex-glm-raw,newspaper-ocr,PaddleX,0.29133991302737716,0.29345766103738924,0.25259750088481636,0.3171681877890844,0.9463598143234561,0.9516110669031208,0.6602711538757436,0.0,0.0,,15
claude-haiku-4.5,newspaper-ocr,none,0.23158779680939523,0.23079705172473042,0.1649661270590146,0.27600224330964895,0.35990517043229864,0.3967738300926017,0.16518603328320647,0.3059595,1.610313157894737,53375,15
gemma-3-27b-it,newspaper-ocr,none,0.226025129046855,0.2225374601311736,0.18663334593598024,0.2522863177874384,0.33914282279460933,0.35553022809440077,0.12950509904754576,0.026968797899999997,0.14194104157894735,62568,15
mistral-small-2603,newspaper-ocr,none,0.20222456966478863,0.1991881982843441,0.11833442718776943,0.25815133131613477,0.31399121962994336,0.3579311682661588,0.15570659860137015,0.09134131050000001,0.48074373947368426,112627,15
